"","replication","arrivals","mean_waiting_time_nurse","mean_activity_time_nurse","utilisation_nurse"
"1",1,15,0,8.92266571894842,0.371528668451366
"2",2,16,0,7.7255587739498,0.399865009965906
"3",3,14,0,7.55613765895507,0.34983454158788
"4",4,19,1.53581418282632,8.0588103472346,0.604995664123677
"5",5,21,0.0519866784761905,9.35135333211744,0.573584434011877
"6",6,29,0.384083299862069,8.20993074704441,0.611272646882443
"7",7,16,0,9.54055185249263,0.401321053724437
"8",8,19,0.497575033078947,8.57860709328252,0.448350482951233
"9",9,19,0,10.0769710427457,0.627360482435886
"10",10,15,0,8.01416495697315,0.336149156108189
"11",11,8,0,8.19813956226296,0.266580242951386
"12",12,12,0,12.4423690398617,0.4411930714609
"13",13,20,0.227177603555,9.34805206374257,0.515029185220157
"14",14,18,0,5.23327658447847,0.385068311969305
"15",15,22,0.0589624537590909,6.84200713184188,0.508430352633121
"16",16,22,0.926212363481818,9.48213350689228,0.588485465605031
"17",17,20,0.07705566903,9.27393115935178,0.536720444332965
"18",18,26,0.0945137374423077,10.8162048914333,0.810276629606859
"19",19,22,1.2570415664,7.78838345773335,0.561919275982066
"20",20,14,0,10.5890431482814,0.46375500374331
"21",21,18,0.0716436412222222,5.10846690914392,0.24044400368886
"22",22,21,0.0591580490190476,9.02494565357537,0.503210923332613
"23",23,21,0.175647701361905,8.22091740614917,0.508214600684611
"24",24,22,0,6.39763986519681,0.378833989818279
"25",25,19,0,8.5503512865253,0.447278181574428
"26",26,21,0.783577928152381,7.45344603512225,0.662036006480184
"27",27,20,1.2903625216,11.9739449424173,0.745215734677497
"28",28,16,0.00683261825625,8.37759384824821,0.551655575186502
"29",29,12,0,5.86264785410928,0.266510144455835
"30",30,20,0.04474548582,9.01076862622505,0.571228028042687
"31",31,16,0.06295110160625,10.0528316919784,0.486085855334318
"32",32,18,0,6.14756691173725,0.349095910560405
"33",33,18,0,5.99381148722807,0.3896454176773
"34",34,20,0.0106671803,8.78699768495577,0.584918663395058
"35",35,24,0.0375949580125,6.1250148346272,0.427273068939378
"36",36,16,0,5.08653652591333,0.214553253790685
"37",37,12,0,9.22254811747763,0.295193944486686
"38",38,15,0,8.30040012220122,0.338457396220477
"39",39,15,0,8.58648124293031,0.360080420090988
"40",40,19,0.00535527148947368,10.7022239471977,0.528871131735171
"41",41,18,0,7.57769866661476,0.436048290674667
"42",42,21,0.266500101061905,10.7945944992205,0.589837388963679
"43",43,17,0.397722008847059,8.89793112128514,0.509968362924036
"44",44,25,0,6.40573070245996,0.418591631105296
"45",45,18,0,6.05024950804647,0.283169912660256
"46",46,17,0.179988911964706,8.67006372925668,0.503745498250098
"47",47,17,0,8.04598031261248,0.496478425937344
"48",48,17,0,9.9499986364565,0.563482722117011
"49",49,17,0.264439412652941,8.02227432181301,0.385527495971647
"50",50,14,0,8.76117602769676,0.335233570735889
"51",51,20,0.28362357005,9.26156379184728,0.546198822373836
"52",52,20,0,7.39720045605086,0.4143982432236
"53",53,19,0.0938929813473684,8.56326729947669,0.45861277528473
"54",54,14,0,10.659332903371,0.382246636436652
"55",55,18,0,7.87964575416427,0.374564675074477
"56",56,18,0,7.37112380014318,0.460975698751186
"57",57,19,0,6.93446257276265,0.365720038954959
"58",58,22,0.842384962627273,10.9114072850773,0.643990582947036
"59",59,16,0,7.33445308964826,0.447441729120187
"60",60,16,0.0918236140875,8.03323464120855,0.369527919200035
"61",61,11,0,13.5779057867523,0.483989102395751
"62",62,18,0.395429763688889,9.49766947771225,0.448792455864958
"63",63,15,0,8.0549803191723,0.388190967309224
"64",64,25,0.683926920868,10.5707000369387,0.808254250632857
"65",65,12,0,9.2658170718876,0.441807668730405
"66",66,14,0,7.86698203584097,0.387681107582835
"67",67,23,0.23453886086087,10.5046831987208,0.703233950990321
"68",68,17,1.14385153219412,7.18628445207151,0.551470182223506
"69",69,18,0,9.32508026499198,0.424200095363553
"70",70,15,0,9.88855559309646,0.462207362572994
"71",71,18,0,7.07917744950834,0.378879954108974
"72",72,22,0,5.05825135675878,0.303948460159635
"73",73,16,0,6.54817416100394,0.276552161950288
"74",74,22,0.0762762008636364,7.08570390399686,0.520615628616018
"75",75,15,0,8.35517359316539,0.3462056554242
"76",76,26,0.231123361023077,9.34246451197043,0.667359672400375
"77",77,13,0,5.53465633946736,0.226673832853035
"78",78,18,0,9.61261062598683,0.498084396177169
"79",79,18,0.245395860016667,9.04738422111327,0.553657714791215
"80",80,9,0,5.50085843079494,0.201336272341734
"81",81,16,0,9.0184545999554,0.419145974185224
"82",82,11,0,8.31245460334258,0.280365167135215
"83",83,13,0.0655415281846154,8.43917168711658,0.471247105983744
"84",84,14,0,5.66624868295414,0.25804810923752
"85",85,13,0,8.59084061245018,0.304516812184508
"86",86,17,0,5.91406597581937,0.280350493672794
"87",87,20,0.205811518405,9.2933162848188,0.69631283888828
"88",88,11,0,8.43495978322226,0.27987165805182
"89",89,12,0,5.21308985165848,0.204204859226964
"90",90,24,0.571064473258333,9.9324202708865,0.60481764623509
"91",91,16,0,9.04945415537796,0.414276432818536
"92",92,18,0,8.81995817950373,0.574697475286729
"93",93,12,0.271884909941667,11.6058512500617,0.519983434440122
"94",94,17,0.0601171019647059,7.56813893525244,0.362623085040635
"95",95,11,0,9.75339371460961,0.437785712688619
"96",96,19,0,11.1541294873282,0.558235643922686
"97",97,12,0,7.37929923388839,0.291381665516697
"98",98,14,0,10.0787670561435,0.447482270035736
"99",99,16,0.14587324370625,7.78504644281919,0.562039183458945
"100",100,19,0,7.04299845211555,0.360356855474523
